Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
4006.a3.txt,0.0145,0.0082,0.0074,0.0038,2,2,0
4007.a3.txt,0.0154,0.0099,0.0055,0.0036,0,3,5
4009.a3.txt,0.0106,0.0085,0.0036,0.0034,1,0,0
4010.a3.txt,0.0152,0.0126,0.0074,0.0063,2,2,0
4011.a3.txt,0.0134,0.0098,0.0047,0.0041,1,4,0
4012.a3.txt,0.0156,0.0097,0.0051,0.0035,1,0,0
4013.a3.txt,0.0153,0.0127,0.0069,0.0071,2,6,0
4014.a3.txt,0.0166,0.0086,0.0066,0.0033,7,1,0
4015.a3.txt,0.0135,0.0087,0.0037,0.0053,1,0,0
4017.a3.txt,0.0175,0.0104,0.0086,0.0057,0,0,1
4020.a3.txt,0.0177,0.0116,0.0074,0.0051,2,2,5
4023.a3.txt,0.0146,0.0082,0.0057,0.0051,0,0,0
4024.a3.txt,0.0148,0.0093,0.0074,0.0049,6,9,7
4026.a3.txt,0.02,0.008,0.0067,0.0026,0,0,0
4027.a3.txt,0.0168,0.0105,0.0049,0.0045,1,0,1
4028.a3.txt,0.0104,0.0101,0.0044,0.0053,0,0,0
4029.a3.txt,0.0134,0.0076,0.0052,0.0037,4,0,0
4030.a3.txt,0.0137,0.0084,0.0046,0.0056,4,2,3
4032.a3.txt,0.0126,0.0096,0.0058,0.0046,4,0,1
4036.a3.txt,0.0162,0.0101,0.0061,0.0054,5,4,2
4037.a3.txt,0.0163,0.0096,0.0062,0.0031,0,1,3
4038.a3.txt,0.0176,0.0099,0.0069,0.0046,4,1,0
4039.a3.txt,0.0128,0.0098,0.005,0.0047,0,0,0
4041.a3.txt,0.0156,0.0102,0.0058,0.0049,2,3,0
4042.a3.txt,0.0163,0.0082,0.0043,0.0038,6,2,1
4043.a3.txt,0.0136,0.0105,0.0057,0.0071,1,3,1
4044.a3.txt,0.0124,0.0105,0.0061,0.0046,0,0,0
4045.a3.txt,0.0163,0.0103,0.0051,0.0045,1,2,2
4046.a3.txt,0.0148,0.009,0.0048,0.0045,1,0,0
4047.a3.txt,0.0126,0.01,0.0053,0.0062,1,1,0
4048.a3.txt,0.0157,0.0078,0.0054,0.0049,1,1,1
5001.a3.txt,0.0172,0.0088,0.0066,0.0054,3,0,1
5002.a3.txt,0.0137,0.008,0.0059,0.0053,1,28,1
5003.a3.txt,0.013,0.0078,0.0073,0.0064,0,0,1
5005.a3.txt,0.0156,0.0097,0.0052,0.0046,2,2,0
5007.a3.txt,0.0185,0.0095,0.0069,0.0044,9,8,7
5008.a3.txt,0.0185,0.0099,0.0062,0.0047,10,4,3
5009.a3.txt,0.0144,0.0062,0.0066,0.0037,0,0,0
5011.a3.txt,0.0138,0.0095,0.0068,0.005,0,0,0
5012.a3.txt,0.019,0.0101,0.007,0.0033,2,0,4
5013.a3.txt,0.0127,0.01,0.0046,0.005,0,0,0
5015.a3.txt,0.014,0.0087,0.0067,0.0042,1,0,0
5016.a3.txt,0.0123,0.0075,0.005,0.0048,3,2,6
5018.a3.txt,0.012,0.0099,0.0045,0.0041,4,1,0
5020.a3.txt,0.012,0.0106,0.0046,0.0047,0,0,0
5023.a3.txt,0.0155,0.0108,0.0043,0.0067,1,0,0
5024.a3.txt,0.0146,0.0104,0.005,0.0045,4,4,1
5026.a3.txt,0.0173,0.0107,0.007,0.0046,1,12,1
5027.a3.txt,0.0166,0.0084,0.0059,0.0058,0,1,0
5028.a3.txt,0.0144,0.0095,0.0048,0.0047,0,0,1
5029.a3.txt,0.015,0.0102,0.005,0.0038,6,0,0
5031.a3.txt,0.0135,0.009,0.0043,0.0041,7,1,0
5032.a3.txt,0.0151,0.0107,0.0048,0.0049,3,1,0
5033.a3.txt,0.0117,0.009,0.0059,0.0043,1,0,0
5035.a3.txt,0.0193,0.0087,0.0088,0.0065,4,2,3
5036.a3.txt,0.0132,0.0063,0.0033,0.0024,1,1,0
5038.a3.txt,0.0147,0.0089,0.0078,0.0053,0,0,0
5039.a3.txt,0.0173,0.0105,0.0072,0.0043,6,1,3
5041.a3.txt,0.0137,0.0073,0.0047,0.0031,6,1,0
5042.a3.txt,0.0165,0.0121,0.0071,0.0033,0,0,0
5043.a3.txt,0.0162,0.0104,0.0066,0.0044,1,0,2
5046.a3.txt,0.0173,0.0099,0.0047,0.0039,0,1,1
5047.a3.txt,0.016,0.0074,0.0061,0.0034,0,0,0
5048.a3.txt,0.0166,0.0091,0.0058,0.0038,8,1,0
5049.a3.txt,0.0184,0.0109,0.0061,0.0041,0,7,1
